CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamp:P50011,ima stanje primjerka,kamp:C10005,"Povezuje primjerak s izrazom ili tekstom u kojemu se navode informacije o fizičkom stanju primjerka jedinice građe, uključujući opće stanje, oštećenja, ranije provedene postupke zaštite, dijelove koji nedostaju i druga svojstva koja proizlaze iz životnog ciklusa primjerka i/ili razlikuju primjerak od drugih primjeraka istoga pojavnog oblika. ",,,
kamp:P50012,ima konzervaciju i restauraciju,kamp:C10005,"Povezuje primjerak s tekstom koji sadržava informacije o konzervatorskim i restauratorskim postupcima provedenima nad jedinicom građe, uključujući mjesto, vrijeme i agente odgovorne za konzervaciju i restauraciju.",,,
kamp:P50013,ima povijest primjerka,kamp:C10005,"Povezuje primjerak s tekstom koji sadržava informacije o povijesti primjerka koje nisu odgovarajuće iskazane u drugim elementima podataka, uključujući vlasništvo nad primjerkom, preinake primjerka, povijest čuvanja itd.",,,
kamp:P50014,je primjerak povezan s jedinicom opisa,kamp:C10005,Povezuje primjerak s jedinicom opisa.,kamjo:P10003,kamjo:C10001,kamjo:P10007
kamp:P50016,je primjerak povezan s djelom,kamp:C10005,Povezuje primjerak s djelom.,kamp:P50014,kamd:C10002,kamd:P20332
kamp:P50017,je primjerak predmet djela,kamp:C10005,"Povezuje primjerak s izrazom, nadziranim nazivom, imenom, naslovom, identifikatorom ili drugom nadziranom oznakom koja označava temu kojom se bavi ili koju prikazuje djelo.",kamp:P50016,kamd:C10002,kamd:P20320
kamp:P50018,je primjerak povezan s pojavnim oblikom,kamp:C10005,Povezuje primjerak s pojavnim oblikom.,kamp:P50014,kampo:C10004,kampo:P40092
kamp:P50019,oprimjeruje pojavni oblik,kamp:C10005,Povezuje primjerak koji ima obilježja određenog pojavnog oblika s tim pojavnim oblikom.,kamp:P50018,kampo:C10004,kampo:P40093
kamp:P50020,ima reprodukciju pojavni oblik,kamp:C10005,Povezuje primjerak s pojavnim oblikom koji je strojno proizveden ili umnožen s namjerom da u istom ili drugom mediju vjerno prenese izgled i sadržaj određenog primjerka jedinice građe koji je unikatan ili se smatra unikatnim zbog svoje provenijencije ili specifičnih obilježja.,kamp:P50018,kampo:C10004,kampo:P40094
kamp:P50021,je primjerak povezan s primjerkom,kamp:C10005,Povezuje primjerak s primjerkom.,kamp:P50014,kamp:C10005,kamp:P50021
kamp:P50022,je primjerak združen s primjerkom,kamp:C10005,Povezuje primjerak koji je povezan u fizičku cjelinu s drugim primjerkom iste ili druge jedinice građe na način koji nije bio dijelom izvornog plana njihove izrade ili proizvodnje.,kamp:P50021,kamp:C10005,kamp:P50135
