CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamd:P20269,ima osobu naručitelja,kamd:C10002,"Povezuje djelo s osobom koja je naručila stvaranje djela, najčešće uz naknadu.",kamd:P20268,kamo:C10007,kamo:P70077
kamd:P20270,ima kolektivnog agenta naručitelja,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji je naručio stvaranje djela, najčešće uz naknadu.",kamd:P20268,kamka:C10008,kamka:P80071
kamd:P20271,ima korporativno tijelo naručitelja,kamd:C10002,"Povezuje djelo s korporativnim tijelom koje je naručilo stvaranje djela, najčešće uz naknadu.",kamd:P20270,kamkt:C10009,kamkt:P90070
kamd:P20272,ima obitelj naručitelja,kamd:C10002,"Povezuje djelo s obitelji koja je naručila stvaranje djela, najčešće uz naknadu.",kamd:P20270,kamob:C10010,kamob:P10069
kamd:P20273,ima agenta oponenta,kamd:C10002,Povezuje djelo s agentom koji se u akademskoj raspravi suprotstavlja tezi koju brani disertant.,kamd:P20035,kama:C10006,kama:P60070
kamd:P20274,ima osobu oponenta,kamd:C10002,Povezuje djelo s osobom koja se u akademskoj raspravi suprotstavlja tezi koju brani disertant.,kamd:P20273,kamo:C10007,kamo:P70078
kamd:P20275,ima agenta osnivača,kamd:C10002,"Povezuje djelo s agentom koji je pokrenuo izdavanje časopisa, novina, bloga, nakladničke cjeline ili drugoga skupnog ili zbirnog neomeđenog djela, pri čemu izdavanje može i ne mora sâm organizirati i/ili financijski podupirati.",kamd:P20035,kama:C10006,kama:P60071
kamd:P20276,ima osobu osnivača,kamd:C10002,"Povezuje djelo s osobom koja je pokrenula izdavanje časopisa, novina, bloga, nakladničke cjeline ili drugoga skupnog ili zbirnog neomeđenog djela, pri čemu izdavanje može i ne mora sâm organizirati i/ili financijski podupirati.",kamd:P20275,kamo:C10007,kamo:P70079
kamd:P20277,ima kolektivnog agenta osnivača,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji je pokrenuo izdavanje časopisa, novina, bloga, nakladničke cjeline ili drugoga skupnog ili zbirnog neomeđenog djela, pri čemu izdavanje može i ne mora sâm organizirati i/ili financijski podupirati.",kamd:P20275,kamka:C10008,kamka:P80073
kamd:P20278,ima korporativno tijelo osnivača,kamd:C10002,"Povezuje djelo s korporativnim tijelom koje je pokrenuo izdavanje časopisa, novina, bloga, nakladničke cjeline ili drugoga skupnog ili zbirnog neomeđenog djela, pri čemu izdavanje može i ne mora sâm organizirati i/ili financijski podupirati.",kamd:P20277,kamkt:C10009,kamkt:P90072
kamd:P20279,ima obitelj osnivača,kamd:C10002,"Povezuje djelo s obitelji koja je pokrenula izdavanje časopisa, novina, bloga, nakladničke cjeline ili drugoga skupnog ili zbirnog neomeđenog djela, pri čemu izdavanje može i ne mora sâm organizirati i/ili financijski podupirati.",kamd:P20277,kamob:C10010,kamob:P10071
kamd:P20280,ima agenta pokrovitelja,kamd:C10002,"Povezuje djelo s agentom koji je financijski podržao (ali nije nužno sâm naručio, pokrenuo ili utemeljio) stvaranje djela.",kamd:P20035,kama:C10006,kama:P60072
kamd:P20281,ima osobu pokrovitelja,kamd:C10002,"Povezuje djelo s osobom koja je financijski podržala (ali nije nužno sama naručila, pokrenula ili utemeljila) stvaranje djela.",kamd:P20280,kamo:C10007,kamo:P70080
kamd:P20282,ima kolektivnog agenta pokrovitelja,kamd:C10002,"Povezuje djelo s kolektivnim agentom koji je financijski podržao (ali nije nužno sâm naručio, pokrenuo ili utemeljio) stvaranje djela.",kamd:P20280,kamka:C10008,kamka:P80074
kamd:P20283,ima korporativno tijelo pokrovitelja,kamd:C10002,"Povezuje djelo s korporativnim tijelom koje je financijski podržalo (ali nije nužno samo naručilo, pokrenulo ili utemeljilo) stvaranje djela.",kamd:P20282,kamkt:C10009,kamkt:P90073
kamd:P20284,ima obitelj pokrovitelja,kamd:C10002,"Povezuje djelo s obitelji koja je financijski podržala (ali nije nužno sama naručila, pokrenula ili utemeljila) stvaranje djela.",kamd:P20282,kamob:C10010,kamob:P10072
kamd:P20285,ima agenta savjetnika,kamd:C10002,Povezuje djelo s agentom koji je sudjelovao u stvaranju djela svojim stručnim znanjem ili iskustvom u određenom području djelovanja.,kamd:P20035,kama:C10006,kama:P60073
kamd:P20286,ima osobu savjetnika,kamd:C10002,Povezuje djelo s osobom koja je sudjelovala u stvaranju djela svojim stručnim znanjem ili iskustvom u određenom području djelovanja.,kamd:P20285,kamo:C10007,kamo:P70081
kamd:P20287,ima kolektivnog agenta savjetnika,kamd:C10002,Povezuje djelo s kolektivnim agentom koji je sudjelovao u stvaranju djela svojim stručnim znanjem ili iskustvom u određenom području djelovanja.,kamd:P20285,kamka:C10008,kamka:P80075
