CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamn:P13110,je usvojena pristupnica za korporativno tijelo,kamn:C10013,"Povezuje riječ, znak ili niz riječi ili znakova koji dosljedno imenuje korporativno tijelo unutar određenog sustava s korporativnim tijelom. ",kamn:P13109,kamkt:C10009,kamkt:P90213
kamn:P13111,je varijantna pristupnica za korporativno tijelo,kamn:C10013,"Povezuje riječ, znak ili niz riječi ili znakova koji imenuju korporativno tijelo unutar određenog sustava, a nisu odabrani za usvojeni oblik imena korporativnog tijela s korporativnim tijelom.",kamn:P13109,kamkt:C10009,kamkt:P90214
kamn:P13112,je ime korporativnog tijela,kamn:C10013,Povezuje ime korporativnog tijela s korporativnim tijelom.,kamn:P13108,kamkt:C10009,kamkt:P90215
kamn:P13113,je usvojeno ime korporativnog tijela,kamn:C10013,Povezuje riječ ili niz riječi ili znakova koji jednoznačno i dosljedno imenuje korporativno tijelo unutar određenog sustava s korporativnim tijelom.,kamn:P13112,kamkt:C10009,kamkt:P90216
kamn:P13114,je vrsta usvojenog imena korporativnog tijela,kamn:C10013,Povezuje nomen s riječi ili izrazom koji označava kategoriju kojoj pripada usvojeno ime korporativnog tijela.,,,
kamn:P13115,je varijantno ime korporativnog tijela,kamn:C10013,"Povezuje riječ, znak ili niz riječi ili znakova koji identificiraju korporativno tijelo unutar određenog sustava, a nisu odabrani za usvojeno ime korporativnog tijela s korporativnim tijelom.",kamn:P13112,kamkt:C10009,kamkt:P90217
kamn:P13116,je vrsta varijantnog imena korporativnog tijela,kamn:C10013,Povezuje nomen s riječi ili izrazom koji označava kategoriju kojoj pripada varijantno ime korporativnog tijela.,,,
kamn:P13117,je dodatno obilježje korporativnog tijela,kamn:C10013,"Povezuje riječ, znak ili niz riječi ili znakova koji razlikuje korporativno tijelo od drugih korporativnih tijela s istim usvojenim ili varijantnim oblikom imena s korporativnim tijelom.",,,
kamn:P13118,je identifikator korporativnog tijela,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku ili niz znakova koji jednoznačno identificira korporativno tijelo unutar određenog sustava s korporativnim tijelom.,kamn:P13108,kamkt:C10009,kamkt:P90219
kamn:P13119,je nomen koji je dodijelilo korporativno tijelo,kamn:C10013,Povezuje nomenom s korporativnim tijelom koji je dodijelilo taj nomen.,kamn:P13107,kamkt:C10009,kamkt:P90220
kamn:P13120,ima napomenu o nomenu korporativnom tijelu,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu korporativnog tijela koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13121,ima napomenu o identifikaciji korporativnog tijela,kamn:C10013,Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o korporativnom tijelu i/ili izvorima iz kojih su identifikacijski podaci preuzeti.,kamn:P13120,,
kamn:P13122,ima napomenu o odnosu nomena i korporativnog tijela,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i korporativnog tijela ili više drugih korporativnih tijela.,kamn:P13120,,
kamn:P13123,je nomen povezan s obitelji,kamn:C10013,Povezuje nomen s obitelji.,kamn:P13010,kamob:C10010,kamob:P10196
kamn:P13124,je oznaka za obitelj,kamn:C10013,Povezuje oznaku s obitelji.,kamn:P13123,kamob:C10010,kamob:P10197
kamn:P13125,je nadzirana pristupnica za obitelj,kamn:C10013,"Povezuje nadziranu riječ ili niz riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira obitelj i okuplja podatke o obitelji s obitelji.",kamn:P13124,kamob:C10010,kamob:P10198
kamn:P13126,je usvojena pristupnica za obitelj,kamn:C10013,"Povezuje riječ, znaku ili niz riječi ili znakova koji dosljedno imenuje obitelj unutar određenog sustava s obitelji. ",kamn:P13125,kamob:C10010,kamob:P10199
kamn:P13127,je varijantna pristupnica za obitelj,kamn:C10013,"Povezuje riječ, znak ili niz riječi ili znakova koji imenuju obitelj unutar određenog sustava, a nisu odabrani za usvojeni oblik imena obitelji s obitelji.",kamn:P13125,kamob:C10010,kamob:P10200
kamn:P13128,je ime obitelji,kamn:C10013,Povezuje ime s obitelji.,kamn:P13124,kamob:C10010,kamob:P10201
kamn:P13129,je usvojeno ime obitelji,kamn:C10013,Povezuje riječ ili niz riječi ili znakova koji jednoznačno i dosljedno imenuje obitelj unutar određenog sustava s obitelji.,kamn:P13128,kamob:C10010,kamob:P10202
kamn:P13130,je vrsta usvojenog imena obitelji,kamn:C10013,Povezuje nomen s riječi ili izrazom koji označava kategoriju kojoj pripada usvojeno ime obitelji.,,,
kamn:P13131,je varijantno ime obitelji,kamn:C10013,"Povezuje riječ, znak ili niz riječi ili znakova koji identificiraju obitelj unutar određenog sustava, a nisu odabrani za usvojeno ime obitelji s obitelji.",kamn:P13128,kamob:C10010,kamob:P10203
kamn:P13132,je vrsta varijantnog imena obitelji,kamn:C10013,Povezuje nomen s riječi ili izrazom koji označava kategoriju kojoj pripada varijantno ime obitelji.,,,
kamn:P13133,je identifikator obitelji,kamn:C10013,Povezuje brojčanu ili slovno-brojčanu oznaku ili niz znakova koji jednoznačno identificira obitelj unutar određenog sustava s obitelji.,kamn:P13124,kamob:C10010,kamob:P10205
kamn:P13134,ima napomenu o nomenu obitelji,kamn:C10013,Povezuje nomen s bilo kojom informacijom o nomenu obitelji koja nije zabilježena uporabom specifičnih atributa i/ili odnosa.,kamn:P13016,,
kamn:P13135,ima napomenu o identifikaciji obitelji,kamn:C10013,Povezuje nomen s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o obitelji i/ili izvorima iz kojih su identifikacijski podaci preuzeti.,kamn:P13134,,
kamn:P13136,ima napomenu o odnosu nomena i obitelji,kamn:C10013,Povezuje nomen s kratkim nestrukturiranim tekstom koji sadržava pojedinosti o odnosu između nomena i obitelji ili više drugih obitelji.,kamn:P13134,,
kamn:P13137,je nomen za mjesto,kamn:C10013,Povezuje nomen s mjestom.,kamn:P13010,kamm:C10011,kamm:P11041
kamn:P13138,je oznaka za mjesto,kamn:C10013,"Povezuje ime, naziv ili drugu oznaku pomoću koje se u informacijskom sustavu identificira mjesto i/ili pronalaze i okupljaju podaci o mjestu s mjestom.",kamn:P13137,kamm:C10011,kamm:P11042
kamn:P13139,je nadzirana pristupnica za mjesto,kamn:C10013,Povezuje pristupnicu koja je preuzeta iz nadziranog rječnika ili oblikovana prema određenim pravilima s mjestom.,kamn:P13138,kamm:C10011,kamm:P11043
kamn:P13140,je usvojena pristupnica za mjesto,kamn:C10013,"Povezuje riječ, izrazm ili skup znakova koji unutar nekog sustava jednoznačno identificira mjesto i okuplja podatke o mjestu s mjestom.",kamn:P13139,kamm:C10011,kamm:P11044
